key,value
Yvette Montilyet,24
Sylaise (Dragon Age),24
Barkspawn,24
Niall (Dragon Age),24
The Inquisitor,24
Dread Wolf - Character,24
Ellana Lavellan,24
Megan Cousland,24
Original Lavellan-Solas Child(ren),24
Alain (Dragon Age),24
Bull's Charger(s),24
Orlesian Warden,24
Lirene,24
Female Warrior Adaar,24
Miranda Lawson,23
Ser Gilmore (Dragon Age),23
Original Male Elf Character(s),23
Bruce Banner,23
Male Tabris (Dragon Age),23
Original Character(s) - Character,23
Kaaras Adaar,23
Warden Commander Surana,23
Various Dragon Age Characters,23
Brother Ferdinand Genitivi,23
John Watson,23
Original Female Dalish Character(s),23
Red Templar(s),23
Male Warrior Lavellan,23
Donnic,23
Varlen Lavellan,23
Harritt (Dragon Age),22
Belinda Darrow,22
EDI (Mass Effect),22
Mhairi,22
theadosia trevelyan,22
Sam Winchester,22
Aeducan (Dragon Age),22
Nelaros,22
Thorin Oakenshield,22
Mage Adaar,22
Valo-Kas,22
Stroud,22
Meredith,22
Ser Karras,22
Carroll (Dragon Age),21
Dragon Age Companions,21
Envy Demon(s) (Dragon Age),21
cataline cousland,21
Inquisitor's Family (Dragon Age),21
Aedan Cousland,21
Helisma Derington,21
Purple Hawke - Character,21
Ariane (Dragon Age),21
Qunari (Characters),21
non-inquisitor Lavellan - Character,21
Quentin Surana (Warden),21
Aeric Lavellan,21
Original Hawke Child(ren),21
Original Non-Warden Cousland(s),21
Male Warrior Adaar,21
Old God Baby,21
Nonbinary Inquisitor (Dragon Age) - Character,21
Cullen Stanton Rutherford,21
Remli Lavellan,21
Knight-Commander Greagoir,20
Original Trans Character(s),20
Original Templar Character(s) (Dragon Age),20
Elthina (Dragon Age),20
The Maker (Dragon Age),20
Iron Bull's Tamassran,20
Mouse (Dragon Age),20
Grace (Dragon Age),20
Custom Hawke - Character,20
Endrin Aeducan,20
Rowan Guerrin,20
Loranil,20
Ser Otto Alrik,20
Erlina,20
Arya Trevelyan,20
Desya Lavellan,20
Nesira Lavellan - Character,20
Male Dovahkiin | Dragonborn,19
Keeper Deshanna,19
Warden Amell,19
Daveth (Dragon Age),19
Loghain,19
Ser Barris,19
Warden Surana,19
Grey Warden(s),19
Xenon the Antiquarian,19
Melissa Hawke,19
Valta (Dragon Age),19
Merril,19
Warrior Lavellan,19
Shepard (Mass Effect),19
Riordan,19
Elvhen God(s),19
Original Avvar Character(s),19
Anthony Pentaghast,19
Serana (Elder Scrolls),18
Original Male Character(s) of Color,18
Owain (Dragon Age),18
Frederic of Serault,18
"James ""Bucky"" Barnes",18
Rilienus (Dragon Age),18
Divine Justinia,18
theadosia mac tir,18
Briala,18
Uthvir,18
Lady Elegant,18
Atheva Lavellan,18
revas lavellan,18
Aggressive Hawke - Character,18
Fenarel,18
Zathrian,18
others - Character,18
Cremisius Aclassi,18
Karl (Dragon Age),18
Celene I,18
Inquisition Agent(s) (Dragon Age),17
Norah (Dragon Age),17
Neria Surana,17
Arl Eamon,17
Hermione Granger,17
Ashley Williams,17
Threnn (Dragon Age),17
anders (mentioned),17
Corff,17
Cillian (Dragon Age),17
Bastien de Ghislain,17
Otto Alrik,17
Cormac Hawke,17
Selene (OC),17
Julien (Dragon Age),17
Nicolas (Dragon Age),17
Rogue Tabris,17
Rogue Inquisitor (Dragon Age),17
Lyos Lavellan,17
Widald Amell,17
Divine Victoria (Dragon Age),16
Gregor (Dragon Age),16
OFC,16
