date,value
20 Jan 2018,17
19 Jan 2018,10
18 Jan 2018,16
17 Jan 2018,23
16 Jan 2018,14
15 Jan 2018,25
14 Jan 2018,29
13 Jan 2018,19
12 Jan 2018,20
11 Jan 2018,17
10 Jan 2018,12
09 Jan 2018,14
08 Jan 2018,31
07 Jan 2018,14
06 Jan 2018,9
05 Jan 2018,17
04 Jan 2018,20
03 Jan 2018,14
02 Jan 2018,30
01 Jan 2018,24
31 Dec 2017,24
30 Dec 2017,33
29 Dec 2017,31
28 Dec 2017,19
27 Dec 2017,9
26 Dec 2017,14
25 Dec 2017,21
24 Dec 2017,37
23 Dec 2017,24
22 Dec 2017,19
21 Dec 2017,23
20 Dec 2017,18
19 Dec 2017,26
18 Dec 2017,25
17 Dec 2017,13
16 Dec 2017,11
15 Dec 2017,20
14 Dec 2017,10
13 Dec 2017,13
12 Dec 2017,14
11 Dec 2017,17
10 Dec 2017,21
09 Dec 2017,16
08 Dec 2017,15
07 Dec 2017,22
06 Dec 2017,17
05 Dec 2017,15
04 Dec 2017,16
03 Dec 2017,18
02 Dec 2017,9
01 Dec 2017,21
30 Nov 2017,14
29 Nov 2017,10
28 Nov 2017,11
27 Nov 2017,12
26 Nov 2017,27
25 Nov 2017,18
24 Nov 2017,21
23 Nov 2017,13
22 Nov 2017,13
21 Nov 2017,19
20 Nov 2017,47
19 Nov 2017,23
18 Nov 2017,22
17 Nov 2017,29
16 Nov 2017,11
15 Nov 2017,10
14 Nov 2017,25
13 Nov 2017,23
12 Nov 2017,35
11 Nov 2017,33
10 Nov 2017,18
09 Nov 2017,25
08 Nov 2017,16
07 Nov 2017,19
06 Nov 2017,18
05 Nov 2017,21
04 Nov 2017,24
03 Nov 2017,23
02 Nov 2017,21
01 Nov 2017,22
31 Oct 2017,30
30 Oct 2017,24
29 Oct 2017,20
28 Oct 2017,14
27 Oct 2017,19
26 Oct 2017,28
25 Oct 2017,17
24 Oct 2017,24
23 Oct 2017,17
22 Oct 2017,17
21 Oct 2017,18
20 Oct 2017,17
19 Oct 2017,14
18 Oct 2017,10
17 Oct 2017,13
16 Oct 2017,13
15 Oct 2017,18
14 Oct 2017,20
13 Oct 2017,22
12 Oct 2017,10
11 Oct 2017,20
10 Oct 2017,16
09 Oct 2017,18
08 Oct 2017,20
07 Oct 2017,21
06 Oct 2017,15
05 Oct 2017,16
04 Oct 2017,11
03 Oct 2017,8
02 Oct 2017,15
01 Oct 2017,21
30 Sep 2017,16
29 Sep 2017,8
28 Sep 2017,13
27 Sep 2017,8
26 Sep 2017,20
25 Sep 2017,13
24 Sep 2017,20
23 Sep 2017,11
22 Sep 2017,6
21 Sep 2017,17
20 Sep 2017,13
19 Sep 2017,10
18 Sep 2017,14
17 Sep 2017,21
16 Sep 2017,17
15 Sep 2017,19
14 Sep 2017,20
13 Sep 2017,18
12 Sep 2017,17
11 Sep 2017,22
10 Sep 2017,26
09 Sep 2017,15
08 Sep 2017,19
07 Sep 2017,22
06 Sep 2017,18
05 Sep 2017,22
04 Sep 2017,24
03 Sep 2017,13
02 Sep 2017,17
01 Sep 2017,14
31 Aug 2017,15
30 Aug 2017,17
29 Aug 2017,12
28 Aug 2017,12
27 Aug 2017,15
26 Aug 2017,17
25 Aug 2017,9
24 Aug 2017,9
23 Aug 2017,18
22 Aug 2017,19
21 Aug 2017,27
20 Aug 2017,20
19 Aug 2017,22
18 Aug 2017,14
17 Aug 2017,18
16 Aug 2017,16
15 Aug 2017,11
14 Aug 2017,10
13 Aug 2017,19
12 Aug 2017,9
11 Aug 2017,14
10 Aug 2017,16
09 Aug 2017,15
08 Aug 2017,10
07 Aug 2017,15
06 Aug 2017,27
05 Aug 2017,14
04 Aug 2017,35
03 Aug 2017,26
02 Aug 2017,17
01 Aug 2017,27
31 Jul 2017,23
30 Jul 2017,23
29 Jul 2017,25
28 Jul 2017,21
27 Jul 2017,16
26 Jul 2017,21
25 Jul 2017,11
24 Jul 2017,15
23 Jul 2017,16
22 Jul 2017,18
21 Jul 2017,24
20 Jul 2017,10
19 Jul 2017,9
18 Jul 2017,15
17 Jul 2017,14
16 Jul 2017,22
15 Jul 2017,11
14 Jul 2017,17
13 Jul 2017,21
12 Jul 2017,14
11 Jul 2017,21
10 Jul 2017,16
09 Jul 2017,30
08 Jul 2017,16
07 Jul 2017,19
06 Jul 2017,16
05 Jul 2017,15
04 Jul 2017,21
03 Jul 2017,16
02 Jul 2017,11
01 Jul 2017,23
30 Jun 2017,16
29 Jun 2017,17
28 Jun 2017,25
27 Jun 2017,27
26 Jun 2017,17
25 Jun 2017,15
24 Jun 2017,18
23 Jun 2017,19
22 Jun 2017,18
21 Jun 2017,14
20 Jun 2017,15
19 Jun 2017,9
18 Jun 2017,17
17 Jun 2017,19
16 Jun 2017,17
15 Jun 2017,9
14 Jun 2017,17
13 Jun 2017,11
12 Jun 2017,17
11 Jun 2017,13
10 Jun 2017,12
09 Jun 2017,15
08 Jun 2017,15
07 Jun 2017,12
06 Jun 2017,18
05 Jun 2017,27
04 Jun 2017,18
03 Jun 2017,20
02 Jun 2017,13
01 Jun 2017,17
31 May 2017,12
30 May 2017,16
29 May 2017,14
28 May 2017,10
27 May 2017,14
26 May 2017,16
25 May 2017,15
24 May 2017,11
23 May 2017,10
22 May 2017,10
21 May 2017,16
20 May 2017,19
19 May 2017,8
18 May 2017,16
17 May 2017,15
16 May 2017,18
15 May 2017,20
14 May 2017,19
13 May 2017,16
12 May 2017,13
11 May 2017,14
10 May 2017,20
09 May 2017,34
08 May 2017,29
07 May 2017,21
06 May 2017,22
05 May 2017,23
04 May 2017,16
03 May 2017,22
02 May 2017,8
01 May 2017,17
30 Apr 2017,18
29 Apr 2017,17
28 Apr 2017,17
27 Apr 2017,9
26 Apr 2017,7
25 Apr 2017,20
24 Apr 2017,17
23 Apr 2017,24
22 Apr 2017,16
21 Apr 2017,15
20 Apr 2017,11
19 Apr 2017,19
18 Apr 2017,19
17 Apr 2017,25
16 Apr 2017,10
15 Apr 2017,18
14 Apr 2017,10
13 Apr 2017,7
12 Apr 2017,11
11 Apr 2017,17
10 Apr 2017,13
09 Apr 2017,20
08 Apr 2017,26
07 Apr 2017,14
06 Apr 2017,14
05 Apr 2017,7
04 Apr 2017,9
03 Apr 2017,10
02 Apr 2017,8
01 Apr 2017,6
31 Mar 2017,12
30 Mar 2017,16
29 Mar 2017,11
28 Mar 2017,20
27 Mar 2017,16
26 Mar 2017,18
25 Mar 2017,12
24 Mar 2017,16
23 Mar 2017,10
22 Mar 2017,13
21 Mar 2017,17
20 Mar 2017,17
19 Mar 2017,27
18 Mar 2017,29
17 Mar 2017,32
16 Mar 2017,12
15 Mar 2017,26
14 Mar 2017,21
13 Mar 2017,24
12 Mar 2017,19
11 Mar 2017,16
10 Mar 2017,14
09 Mar 2017,12
08 Mar 2017,14
07 Mar 2017,6
06 Mar 2017,16
05 Mar 2017,18
04 Mar 2017,17
03 Mar 2017,11
02 Mar 2017,18
01 Mar 2017,17
28 Feb 2017,12
27 Feb 2017,9
26 Feb 2017,23
25 Feb 2017,17
24 Feb 2017,11
23 Feb 2017,19
22 Feb 2017,20
21 Feb 2017,28
20 Feb 2017,18
19 Feb 2017,18
18 Feb 2017,17
17 Feb 2017,19
16 Feb 2017,20
15 Feb 2017,24
14 Feb 2017,25
13 Feb 2017,23
12 Feb 2017,23
11 Feb 2017,13
10 Feb 2017,21
09 Feb 2017,17
08 Feb 2017,8
07 Feb 2017,12
06 Feb 2017,27
05 Feb 2017,25
04 Feb 2017,15
03 Feb 2017,22
02 Feb 2017,19
01 Feb 2017,20
31 Jan 2017,18
30 Jan 2017,17
29 Jan 2017,22
28 Jan 2017,16
27 Jan 2017,24
26 Jan 2017,7
25 Jan 2017,11
24 Jan 2017,20
23 Jan 2017,23
22 Jan 2017,12
21 Jan 2017,16
20 Jan 2017,21
19 Jan 2017,25
18 Jan 2017,14
17 Jan 2017,23
16 Jan 2017,31
15 Jan 2017,18
