key,value
Sigrun / Velanna,15
Cole / Iron Bull / Dorian Pavus,15
Samson / Female Trevelyan,15
Male Inquisitor / Samson,15
Fenris / Original Female Character(s),14
Anders / Hawke / Justice,14
Male Amell / Anders,14
Zevran / Warden,14
Male Hawke / Dorian Pavus,14
Inquisitor / Rylen,14
Male Inquisitor / Original Female Character(s),14
Female Inquisitor / Sebastian Vael,14
Female Inquisitor / Raleigh Samson,14
Morrigan / Female Tabris,14
Carver Hawke / Female Surana,14
Bethany Hawke / Leliana,14
Female Cadash / Lace Harding,14
Cole & Inquisitor (Dragon Age),14
Nonbinary Lavellan / Solas,14
Fergus Cousland / Oriana Cousland,14
Cullen Rutherford / Female Shepard (Mass Effect),14
Female Hawke & Aveline Vallen,14
Male Mahariel / Male Surana,14
M!Hawke / Anders,14
Morrigan / Tabris,14
Female Amell / Nathaniel Howe,14
F!Hawke / Isabela,14
Abelas (Dragon Age) / Original Character(s),14
Calpernia / Samson (Dragon Age),14
Sten / Male Warden,14
Female Hawke / Orsino,14
Hawke / Orsino,14
Bethany Hawke / Merrill,14
Female Amell / Teagan Guerrin,14
Briala / Celene I,14
Female Mahariel / Sten,14
Warden Alistair / Warden,14
Anders / Female Warrior Hawke,14
Male Inquisitor / Dorian Pavus / Cullen Rutherford,14
Anders (Dragon Age) / Original Female Character(s),13
OC / Solas,13
Female Cousland / Leliana (Dragon Age),13
Iron Bull & Female Lavellan,13
Inquisitor & Solas,13
Evangeline de Brassard / Rhys,13
Anders & Male Hawke,13
Original Character(s) / Original Character(s),13
Original Characters - Relationship,13
Fenris & Sebastian Vael,13
Nathaniel Howe / Male Warden,13
Blackwall / Reader,13
Hawke / Inquisitor,13
Female Inquisitor & Dragon Age: Inquisiton Ensemble,13
Vanora Tiberius / Maretus Varovelo,13
Alistair / Amell (Dragon Age),13
Female Lavellan / Original Female Character(s),13
Inquisitor / Vivienne,13
Female Cadash / Cassandra Pentaghast,13
Female Trevelyan / Vivienne,13
Female Hawke / Anders,13
Lace Harding / Josephine Montilyet,13
Male Lavellan / Male Lavellan,13
Cousland / Leliana,13
Blackwall & Female Cadash,13
Cullen / Warden (Dragon Age),13
King Alistair / Female Amell,13
Female Cousland / Sten,13
Athenril / Bethany Hawke,13
Male Mage Adaar / Dorian Pavus,13
Cullen / Sebastian Vael,13
Alistair / Jowan,13
"Cremisius ""Krem"" Aclassi / Josephine Montilyet",12
TBD - Relationship,12
Isabela & Merrill,12
Lavellans,12
Cole / Original Female Character(s),12
Fenris / Iron Bull,12
Female Inquisitor / Original Female Character(s),12
Inquisitor & Cullen Rutherford,12
Inquisitor & Dorian Pavus,12
Leliana & Cassandra Pentaghast,12
Female Hawke / Female Inquisitor,12
Male Lavellan / Original Female Character(s),12
Bryce Cousland / Eleanor Cousland,12
Leliana / Male Mahariel,12
Female Hawke / Meredith Stannard,12
Kieran & Morrigan,12
Raleigh Samson / Original Female Character(s),12
Adaar / Sera,12
Female Lavellan / Dorian Pavus,12
Cullen / Female Warden,12
"Cremisius ""Krem"" Aclassi / Cassandra Pentaghast",12
Warrior Inquisitor / Cullen Rutherford,12
Andruil / Ghilan'nain,12
past Fenris / Male Hawke,12
Female Brosca / Leske,12
Sten & Female Warden,12
Zevran Arainai / Dorian Pavus,12
Solas & Female Trevelyan,12
Dirthamen / Selene,12
Julien / Nicolas (Dragon Age),12
Female Cousland / Carver Hawke,12
Female Trevelyan / Original Male Character(s),12
Dorian Pavus & Sera,12
Alistair / Male Amell,12
Nathaniel Howe / Sigrun,12
Lavellan / Cullen,12
Female Mage Hawke / Sebastian Vael,12
Anders / Other(s),12
Merrill / Solas,12
One-Sided - Relationship,12
Cassandra Pentaghast / Female Mage Trevelyan,12
Alistair Theirin / F!Tabris,12
Dagna / Sigrun,12
Female Lavellan / Cullen Rutherford / Solas,11
Cole & Dorian Pavus,11
Cole & Iron Bull,11
Anora Mac Tir / Female Warden,11
Rylen / Inquisitor,11
Female Inquisitor & Vivienne,11
Female Inquisitor / Original Character(s),11
Felix Alexius & Dorian Pavus,11
Anders / Original Female Character(s),11
Cassandra Pentaghast / Original Character(s),11
Male Hawke / Female Lavellan,11
Female Lavellan / Leliana,11
Fenris / Female Inquisitor,11
Cole & Solas (Dragon Age),11
Lavellan / Trevelyan,11
Leliana & Warden (Dragon Age),11
Cullen / OC,11
Michel de Chevin / Imshael,11
Female Adaar / Varric Tethras,11
Zevran Arainai & Female Tabris,11
Cullen Rutherford / Alistair Theirin,11
Josephine Montilyet / Vivienne,11
Jowan / Female Surana,11
Female Hawke & Leandra Hawke,11
Sebastian Vael / Original Female Character(s),11
Sera / Female Mage Trevelyan,11
Atheva Lavellan / Cullen Rutherford,11
